ano;mes;inflacao;mes_num;inflacao_acumulada_2022;fator_inflacao_2022
2002;Jan;0,52;1;1,0052;3,571662648
2002;Fev;0,36;2;1,00881872;3,549654788
2002;Mar;0,6;3;1,014871632;3,53516063
2002;Abr;0,8;4;1,022990605;3,514425519
2002;Mai;0,21;5;1,025138886;3,524646996
2002;Jun;0,42;6;1,029444469;3,537381569
2002;Jul;1,19;7;1,041694858;3,561600452
2002;Ago;0,65;8;1,048465875;3,537896545
2002;Set;0,72;9;1,056014829;3,521346218
2002;Out;1,31;10;1,069848623;3,484411457
2002;Nov;3,02;11;1,102158052;3,428863862
2002;Dez;2,1;12;1,125303371;3,394578618
2003;Jan;2,25;1;1,150622697;3,376346348
2003;Fev;1,57;2;1,168687473;3,351877641
2003;Mar;1,23;3;1,183062329;3,320334464
2003;Abr;0,97;4;1,194538033;3,27934268
2003;Mai;0,61;5;1,201824715;3,241738513
2003;Jun;-0,15;6;1,200021978;3,213778639
2003;Jul;0,2;7;1,202422022;3,18321973
2003;Ago;0,34;8;1,206510257;3,166437611
2003;Set;0,78;9;1,215921037;3,140372519
2003;Out;0,29;10;1,219447208;3,13066745
2003;Nov;0,34;11;1,223593329;3,101820519
2003;Dez;0,52;12;1,229956014;3,075372317
2004;Jan;0,76;1;1,23930368;3,067703059
2004;Fev;0,61;2;1,246863432;3,02684071
2004;Mar;0,47;3;1,25272369;3,000139468
2004;Abr;0,37;4;1,257358768;2,974558267
2004;Mai;0,51;5;1,263771298;2,955642157
2004;Jun;0,71;6;1,272744074;2,9485656
2004;Jul;0,91;7;1,284326045;2,93798884
2004;Ago;0,69;8;1,293187895;2,930369878
2004;Set;0,33;9;1,297455415;2,94154776
2004;Out;0,44;10;1,303164219;2,950694914
2004;Nov;0,69;11;1,312156052;2,948630873
2004;Dez;0,86;12;1,323440594;2,941277678
2005;Jan;0,58;1;1,331116549;2,935113939
2005;Fev;0,59;2;1,338970137;2,901743884
2005;Mar;0,61;3;1,347137855;2,887020082
2005;Abr;0,87;4;1,358857954;2,884135946
2005;Mai;0,49;5;1,365516358;2,885290062
2005;Jun;-0,02;6;1,365243255;2,88211973
2005;Jul;0,25;7;1,368656363;2,876654088
2005;Ago;0,17;8;1,370983079;2,876366451
2005;Set;0,35;9;1,375781519;2,872632029
2005;Out;0,75;10;1,386099881;2,85635083
2005;Nov;0,55;11;1,39372343;2,835087672
2005;Dez;0,36;12;1,398740835;2,822948991
2006;Jan;0,59;1;1,406993405;2,813944369
2006;Fev;0,41;2;1,412762078;2,809729775
2006;Mar;0,43;3;1,418836955;2,815642624
2006;Abr;0,21;4;1,421816513;2,803028994
2006;Mai;0,1;5;1,423238329;2,789638728
2006;Jun;-0,21;6;1,420249529;2,792151664
2006;Jul;0,19;7;1,422948003;2,78296787
2006;Ago;0,05;8;1,423659477;2,748338802
2006;Set;0,21;9;1,426649162;2,737389245
2006;Out;0,33;10;1,431357104;2,731380208
2006;Nov;0,31;11;1,435794311;2,728924176
2006;Dez;0,48;12;1,442686124;2,720219474
2007;Jan;0,44;1;1,449033943;2,712353648
2007;Fev;0,44;2;1,455409692;2,700471573
2007;Mar;0,37;3;1,460794708;2,692931366
2007;Abr;0,25;4;1,464446695;2,681668359
2007;Mai;0,28;5;1,468547146;2,677384543
2007;Jun;0,28;6;1,472659078;2,67230716
2007;Jul;0,24;7;1,476193459;2,665908978
2007;Ago;0,47;8;1,483131569;2,672054704
2007;Set;0,18;9;1,485801206;2,663796933
2007;Out;0,3;10;1,490258609;2,660072832
2007;Nov;0,38;11;1,495921592;2,653439233
2007;Dez;0,74;12;1,506991412;2,644711685
2008;Jan;0,54;1;1,515129165;2,634699826
2008;Fev;0,49;2;1,522553298;2,626819367
2008;Mar;0,48;3;1,529861554;2,622099588
2008;Abr;0,55;4;1,538275793;2,615299809
2008;Mai;0,79;5;1,550428171;2,613209241
2008;Jun;0,74;6;1,56190134;2,601761491
2008;Jul;0,53;7;1,570179417;2,588302319
2008;Ago;0,28;8;1,574575919;2,579274857
2008;Set;0,26;9;1,578669817;2,559312221
2008;Out;0,45;10;1,585773831;2,543795071
2008;Nov;0,36;11;1,591482617;2,532903586
2008;Dez;0,28;12;1,595938768;2,510310789
2009;Jan;0,48;1;1,603599274;2,478829652
2009;Fev;0,55;2;1,61241907;2,455259164
2009;Mar;0,2;3;1,615643908;2,430709003
2009;Abr;0,48;4;1,623398999;2,410939301
2009;Mai;0,47;5;1,631028974;2,397990154
2009;Jun;0,36;6;1,636900678;2,392726157
2009;Jul;0,24;7;1,64082924;2,377982664
2009;Ago;0,15;8;1,643290484;2,359343848
2009;Set;0,24;9;1,647234381;2,342012952
2009;Out;0,28;10;1,651846637;2,325501889
2009;Nov;0,41;11;1,658619209;2,29520518
2009;Dez;0,37;12;1,6647561;2,267541178
2010;Jan;0,75;1;1,67724177;2,239768054
2010;Fev;0,78;2;1,690324256;2,222433076
2010;Mar;0,52;3;1,699113942;2,211156179
2010;Abr;0,57;4;1,708798892;2,201908165
2010;Mai;0,43;5;1,716146727;2,189428423
2010;Jun;0;6;1,716146727;2,183968502
2010;Jul;0,01;7;1,716318342;2,183750127
2010;Ago;0,04;8;1,717004869;2,175049927
2010;Set;0,45;9;1,724731391;2,165090511
2010;Out;0,75;10;1,737666876;2,150680948
2010;Nov;0,83;11;1,752089512;2,131075058
2010;Dez;0,63;12;1,763127675;2,116471405
2011;Jan;0,83;1;1,777761635;2,104894486
2011;Fev;0,8;2;1,791983728;2,08570599
2011;Mar;0,79;3;1,8061404;2,074503671
2011;Abr;0,77;4;1,820047681;2,062746018
2011;Mai;0,47;5;1,828601905;2,055551588
2011;Jun;0,15;6;1,831344808;2,050630076
2011;Jul;0,16;7;1,834274959;2,050015071
2011;Ago;0,37;8;1,841061777;2,044698854
2011;Set;0,53;9;1,850819404;2,037161357
2011;Out;0,43;10;1,858777928;2,026018257
2011;Nov;0,52;11;1,868443573;2,016540516
2011;Dez;0,5;12;1,877785791;2,004513436
2012;Jan;0,56;1;1,888301391;1,98742161
2012;Fev;0,45;2;1,896798747;1,971844042
2012;Mar;0,21;3;1,900782025;1,960083541
2012;Abr;0,64;4;1,91294703;1,948586878
2012;Mai;0,36;5;1,919833639;1,937542884
2012;Jun;0,08;6;1,921369506;1,929631395
2012;Jul;0,43;7;1,929631395;1,921369506
2012;Ago;0,41;8;1,937542884;1,919833639
2012;Set;0,57;9;1,948586878;1,91294703
2012;Out;0,59;10;1,960083541;1,900782025
2012;Nov;0,6;11;1,971844042;1,896798747
2012;Dez;0,79;12;1,98742161;1,888301391
2013;Jan;0,86;1;2,004513436;1,877785791
2013;Fev;0,6;2;2,016540516;1,868443573
2013;Mar;0,47;3;2,026018257;1,858777928
2013;Abr;0,55;4;2,037161357;1,850819404
2013;Mai;0,37;5;2,044698854;1,841061777
2013;Jun;0,26;6;2,050015071;1,834274959
2013;Jul;0,03;7;2,050630076;1,831344808
2013;Ago;0,24;8;2,055551588;1,828601905
2013;Set;0,35;9;2,062746018;1,820047681
2013;Out;0,57;10;2,074503671;1,8061404
2013;Nov;0,54;11;2,08570599;1,791983728
2013;Dez;0,92;12;2,104894486;1,777761635
2014;Jan;0,55;1;2,116471405;1,763127675
2014;Fev;0,69;2;2,131075058;1,752089512
2014;Mar;0,92;3;2,150680948;1,737666876
2014;Abr;0,67;4;2,165090511;1,724731391
2014;Mai;0,46;5;2,175049927;1,717004869
2014;Jun;0,4;6;2,183750127;1,716318342
2014;Jul;0,01;7;2,183968502;1,716146727
2014;Ago;0,25;8;2,189428423;1,716146727
2014;Set;0,57;9;2,201908165;1,708798892
2014;Out;0,42;10;2,211156179;1,699113942
2014;Nov;0,51;11;2,222433076;1,690324256
2014;Dez;0,78;12;2,239768054;1,67724177
2015;Jan;1,24;1;2,267541178;1,6647561
2015;Fev;1,22;2;2,29520518;1,658619209
2015;Mar;1,32;3;2,325501889;1,651846637
2015;Abr;0,71;4;2,342012952;1,647234381
2015;Mai;0,74;5;2,359343848;1,643290484
2015;Jun;0,79;6;2,377982664;1,64082924
2015;Jul;0,62;7;2,392726157;1,636900678
2015;Ago;0,22;8;2,397990154;1,631028974
2015;Set;0,54;9;2,410939301;1,623398999
2015;Out;0,82;10;2,430709003;1,615643908
2015;Nov;1,01;11;2,455259164;1,61241907
2015;Dez;0,96;12;2,478829652;1,603599274
2016;Jan;1,27;1;2,510310789;1,595938768
2016;Fev;0,9;2;2,532903586;1,591482617
2016;Mar;0,43;3;2,543795071;1,585773831
2016;Abr;0,61;4;2,559312221;1,578669817
2016;Mai;0,78;5;2,579274857;1,574575919
2016;Jun;0,35;6;2,588302319;1,570179417
2016;Jul;0,52;7;2,601761491;1,56190134
2016;Ago;0,44;8;2,613209241;1,550428171
2016;Set;0,08;9;2,615299809;1,538275793
2016;Out;0,26;10;2,622099588;1,529861554
2016;Nov;0,18;11;2,626819367;1,522553298
